id,name,glottocode,year,map_name_full,sources
351,Andoque,ando1254,1750,,titus
352,Minica Huitoto,,1750,,titus
353,Murui Huitoto,muru1274,1750,,titus
354,Ocaína,,1750,,titus
355,Jabutí,djeo1235,1750,,titus
356,Pirahã,,1750,,titus
357,Parintintin,,1750,,titus
358,Puruborá,puru1264,1750,,titus
359,Rikbatsá,,1750,,titus
360,Aikanã,aika1237,1750,,titus
361,Aruá,arua1261,1750,,titus
362,Coreguaje,,1750,,titus
363,Cubeo,cube1242,1750,,titus
364,Desano,desa1247,1750,,titus
365,Tatuyo,tatu1247,1750,,titus
366,Tuyuca,,1750,,titus
367,Macuna,,1750,,titus
368,Kokáma,,1750,,titus
369,Yagua,yagu1244,1750,,titus
370,Iñapari,,1750,,titus
371,Baré,,1750,,titus
372,Cauixána,,1750,,titus
373,Yawalapití,,1750,,titus
374,Yabaâna,,1750,,titus
375,Wirina,uiri1238,1750,,titus
376,Apolista,apol1242,1750,,titus
377,Araua,arua1264,1750,,titus
378,Mapidian,,1750,,titus
379,Yine,,1750,,titus
380,Pasé,pass1250,1750,,titus
381,Cayuishana,kais1242,1750,,titus
382,Waurá,,1750,,titus
383,Waraicu,arai1239,1750,,titus
384,Katukina,katu1274,1750,,titus
385,Arauá,,1750,,titus
386,Marawa,mara1409,1750,,titus
387,Matsés,mats1244,1750,,titus
388,Catuqina do Acre,,1750,,titus
389,Itonama,iton1250,1750,,titus
390,Cavineña,cavi1250,1750,,titus
391,Chácobo,chac1251,1750,,titus
392,Kashinawá,cash1254,1750,,titus
393,Pacahuara,,1750,,titus
394,Yaminahua,yami1256,1750,,titus
395,Amahuaca,amah1246,1750,,titus
396,Marúbo,,1750,,titus
397,Macu,,1750,,titus
398,Manao,mana1299,1750,,titus
399,Catío,,1750,,titus
400,Chimila,,1750,,titus
401,Woun Meu,woun1238,1750,,titus
402,Northern Emberá,nort2972,1750,,titus
403,Quimbaya,,1750,,titus
404,Yurumanguí,yuru1243,1750,,titus
405,Central Tunebo,cent2150,1750,,titus
406,Yucpa,,1750,,titus
407,Jirajara,jira1235,1750,,titus
