ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,,,,,,,carling2025diacl,,map,
149,Awetí,,,,,1750,carling2025diacl;titus,features,feature,map_1
150,Jurúna,,,,,1750,carling2025diacl;titus,features,feature,map_1
151,Sateré-Mawé,,,,,1750,carling2025diacl;titus,features,feature,map_1
152,Kuruáya,,,,,1750,carling2025diacl;titus,features,feature,map_1
153,Mundurukú,,,,,1750,carling2025diacl;titus,features,feature,map_1
154,Guaraní (Avá),,,,,1750,carling2025diacl;titus,features,feature,map_1
155,Guaraní (Eastern Bolivian),,,,,1750,carling2025diacl;titus,features,feature,map_1
156,Guaraní (Mbyá),,,,,1750,carling2025diacl;titus,features,feature,map_1
157,Guaraní (Paraguayan),,,,,1750,carling2025diacl;titus,features,feature,map_1
158,Kaiwá,,,,,1750,carling2025diacl;titus,features,feature,map_1
159,Tapiete,,,,,1750,carling2025diacl;titus,features,feature,map_1
160,Guarayó,,,,,1750,carling2025diacl;titus,features,feature,map_1
161,Sirionó,,,,,1750,carling2025diacl;titus,features,feature,map_1
162,Emerillon,,,,,1750,carling2025diacl;titus,features,feature,map_1
163,Urubú-Ka'apór,,,,,1750,carling2025diacl;titus,features,feature,map_1
164,Wayampi do Amapari,,,,,1750,carling2025diacl;titus,features,feature,map_1
165,Kamayurá,,,,kama1373,1750,carling2025diacl;titus,features,feature,map_1
166,Kayabí,,,,,1750,carling2025diacl;titus,features,feature,map_1
167,Parintintin,,,,,1750,carling2025diacl;titus,features,feature,map_1
168,Guajajára,,,,,1750,carling2025diacl;titus,features,feature,map_1
169,Tembé,,,,,1750,carling2025diacl;titus,features,feature,map_1
170,Kokáma,,,,,1750,carling2025diacl;titus,features,feature,map_1
171,Nhengatu,,,,,1750,carling2025diacl;titus,features,feature,map_1
172,Tupinambá,,,,tupi1273,1750,carling2025diacl;titus,features,feature,map_1
173,Asuriní of Xingú,,,,,1750,carling2025diacl;titus,features,feature,map_1
174,Uyghur,,,,,1750,carling2025diacl;titus,features,feature,map_1
175,Uzbek,,,,,1750,carling2025diacl;titus,features,feature,map_1
176,Turkmen,,,,turk1304,1750,carling2025diacl;titus,features,feature,map_1
177,Turkish,,,,nucl1301,1750,carling2025diacl;titus,features,feature,map_1
178,Karachay-Balkar,,,,,1750,carling2025diacl;titus,features,feature,map_1
179,Kazakh,,,,kaza1248,1750,carling2025diacl;titus,features,feature,map_1
180,Estonian,,,,,1750,carling2025diacl;titus,features,feature,map_1
181,Finnish,,,,finn1318,1750,carling2025diacl;titus,features,feature,map_1
182,Northern Saami,,,,nort2671,1750,carling2025diacl;titus,features,feature,map_1
183,Hungarian,,,,hung1274,1750,carling2025diacl;titus,features,feature,map_1
184,Yurakaré,,,,yura1255,1750,carling2025diacl;titus,features,feature,map_1
185,Tibetan,,,,tibe1272,1750,carling2025diacl;titus,features,feature,map_1
186,Jingpho,,,,kach1280,1750,carling2025diacl;titus,features,feature,map_1
187,Mandarin Chinese,,,,mand1415,1750,carling2025diacl;titus,features,feature,map_1
188,Proto-Jê,,,,,1750,carling2025diacl;titus,features,feature,map_1
189,Adyghe,,,,adyg1241,1750,carling2025diacl;titus,features,feature,map_1
190,Ingush,,,,ingu1240,1750,carling2025diacl;titus,features,feature,map_1
191,Udi,,,,udii1243,1750,carling2025diacl;titus,features,feature,map_1
192,Beshta,,,,bezh1248,1750,carling2025diacl;titus,features,feature,map_1
193,Khinalug,,,,khin1240,1750,carling2025diacl;titus,features,feature,map_1
194,Budukh,,,,budu1248,1750,carling2025diacl;titus,features,feature,map_1
195,Abaza,,,,abaz1241,1750,carling2025diacl;titus,features,feature,map_1
196,Avar,,,,avar1256,1750,carling2025diacl;titus,features,feature,map_1
197,Andi,,,,andi1255,1750,carling2025diacl;titus,features,feature,map_1
198,Lak,,,,lakk1252,1750,carling2025diacl;titus,features,feature,map_1
199,Dargwa,,,,darg1241,1750,carling2025diacl;titus,features,feature,map_1
200,Gagauz,,,,gaga1249,1750,carling2025diacl;titus,features,feature,map_1
