ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
high1276,Highland Popoluca,,18.198,-94.9109,high1276,,555,language,Mixe-Zoque,languages
high1278,Highland Puebla Nahuatl,,20.1554,-97.5556,high1278,,476,language,Uto-Aztecan,languages
hind1269,Hindi,,25.0,77.0,hind1269,,73,language,Indo-European,languages
hixk1239,Hixkaryána,,-0.16265,-58.80153,hixk1239,,645,language,Cariban,languages
hlai1239,Hlai,,18.8062,109.459,hlai1239,,407,language,Tai-Kadai,languages
hoch1243,Ho-Chunk,,43.5,-88.5,hoch1243,,455,language,Siouan,languages
holi1241,Holikachuk,,62.7266,-159.831,holi1241,,878,language,Athabaskan-Eyak-Tlingit,languages
hopi1249,Hopi,,35.7653,-110.535,hopi1249,,477,language,Uto-Aztecan,languages
huam1247,Huambisa,,-3.99109,-77.9797,huam1247,,521,language,Chicham,languages
huas1242,Huastec,,21.6153,-98.5028,huas1242,,538,language,Mayan,languages
huic1243,Huichol,,21.954,-104.062,huic1243,,478,language,Uto-Aztecan,languages
huil1244,Huilliche,,-40.0694,-72.767,huil1244,,723,language,Araucanian,languages
hung1274,Hungarian,,46.9068585714,19.6555271429,hung1274,,183,language,Uralic,languages
hupa1239,Hupa-Chilula,,41.0982,-123.68,hupa1239,,608,language,Athabaskan-Eyak-Tlingit,languages
iban1261,Ibani,,4.49119,7.23558,iban1261,,981,language,Ijoid,languages
ibib1240,Ibibio,,5.15279,7.86688,ibib1240,,277,language,Atlantic-Congo,languages
icel1247,Icelandic,,63.4837,-19.0212,icel1247,,60,language,Indo-European,languages
idom1241,Idoma,,7.19139,7.71261,idom1241,,283,language,Atlantic-Congo,languages
ikom1245,Ikoma-Nata,,-1.94989,34.5361,ikom1245,,1033,language,Atlantic-Congo,languages
ilaa1246,Ila,,-15.60807,26.45548,ilaa1246,,334,language,Atlantic-Congo,languages
